pessoa feliz?;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.6;0;8.62633886352154e-20;1;0.8820336213642602
1;1;1.0;1;1.0;1;0.9955952877023769
1;1;1.0;1;1.0;1;0.9995612592052011
1;1;1.0;0;1.4862784974949869e-18;1;0.9491755731182783
1;1;1.0;0;0.0001438249348897416;1;0.9999924604206374
1;1;1.0;0;5.4767194565524435e-11;1;0.999676570582063
1;1;0.5714285714285714;0;8.558905407515841e-19;1;0.792109762952023
1;1;1.0;0;7.126006428534383e-20;1;0.9154882627642071
1;1;0.6666666666666666;0;1.5646028150867168e-19;0;0.47983566320549104
1;1;0.8571428571428571;0;0.00023657268421899854;1;0.9999946858034147
1;1;1.0;0;1.7121558990511173e-12;1;0.9154906392954507
1;0;0.2;0;4.877632571754484e-17;1;0.9372833131379184
1;1;1.0;0;1.266659936192206e-09;1;0.9995448111721302
1;0;0.2857142857142857;0;4.642549758422656e-18;1;0.7199365558112606
1;1;0.7142857142857143;0;9.38710161066927e-18;1;0.8571238522147118
1;1;1.0;0;6.876031099129567e-16;1;0.8808814562968796
1;1;0.8571428571428571;0;7.72732955508486e-12;1;0.9996634437442267
1;1;1.0;1;1.0;1;0.9999978903197336
1;1;0.625;0;4.301973226831618e-20;1;0.7323953768390649
1;1;0.6666666666666666;0;5.993053004849664e-20;1;0.693287153788475
1;1;1.0;1;1.0;1;0.9986848815556341
1;1;0.625;0;1.8088835900572754e-18;1;0.6866888122594985
1;1;1.0;0;4.056165608861599e-18;1;0.781498322167466
1;1;1.0;0;1.437160225266655e-40;1;0.7040482208350871
0;1;0.6;0;8.392132740910336e-21;0;0.22521454497460466
1;1;1.0;0;6.1507289681365894e-12;1;0.9989901564449403
1;1;1.0;1;1.0;1;0.9999979196641563
0;1;0.6;0;1.5602783072554143e-18;1;0.9102527673058842
1;1;0.8888888888888888;0;6.191840211765589e-17;1;0.9318475480135926
1;1;0.6;0;3.394823278593553e-12;1;0.9945951438897239
1;0;0.2;0;2.6461467633703704e-18;1;0.7963551109187984
1;1;1.0;1;1.0;1;0.9999384247733536
1;1;1.0;0;1.243530332576414e-10;1;0.9999264865976123
0;1;0.7142857142857143;0;7.035142174180125e-19;1;0.8590471687734336
1;1;1.0;1;1.0;1;0.9977168246903598
0;0;0.2;0;3.5569920810116676e-14;1;0.867726646211689
1;1;1.0;1;1.0;1;0.9981948983953732
1;1;0.8888888888888888;0;4.42733983923697e-11;1;0.9012963529523971
1;1;0.75;1;1.0;1;0.9975856035224537
1;1;1.0;0;3.958758296220189e-20;1;0.7315952660155622
0;1;0.6666666666666666;0;3.610675722615085e-19;1;0.8070257886645301
1;1;1.0;0;5.811691907451614e-20;1;0.5800307580652059
1;1;1.0;0;1.0363288219837221e-10;1;0.9998540202825272
1;1;1.0;0;2.1138382286011023e-10;1;0.9938372527804893
1;1;0.7142857142857143;0;4.0077695314292894e-17;1;0.6727933633117189
1;1;1.0;0;2.0074836659488806e-10;1;0.9998499691049292
1;1;0.8;0;2.0961876944304141e-19;1;0.5292304439734707
0;0;0.2;0;1.1433905905397453e-49;0;0.00013369350740898586
1;1;1.0;0;1.1109744404408882e-15;1;0.9085985663893467
1;1;1.0;1;1.0;1;0.9988179361337718
0;1;0.75;0;1.6980423788279818e-22;0;0.44261447129805154
1;1;1.0;0;6.3562880830534925e-12;1;0.9987224941480308
0;0;0.2;0;8.300481108596933e-17;1;0.8707834792384511
1;1;1.0;0;5.2711571649863786e-20;1;0.5830663340134965
1;1;1.0;0;8.381693288649827e-18;1;0.5115800641000682
1;1;0.8888888888888888;0;2.1794088891283253e-12;1;0.9477015321852321
1;1;1.0;0;8.587498458921619e-10;1;0.9999628226001102
1;1;0.5714285714285714;1;1.0;1;0.9914147664175142
1;1;1.0;0;2.3583820089841384e-19;0;0.2860152259493505
1;1;1.0;1;1.0;1;0.9904675473342212
1;1;1.0;0;5.768726256098748e-18;1;0.6340787330667116
0;0;0.2857142857142857;0;3.6021780618742635e-21;0;0.4234596540804276
0;1;0.625;0;4.941570142335046e-20;0;0.3889438002862935
1;1;0.6;0;7.470530631196474e-13;1;0.9978926975187775
1;1;0.6;1;1.0;1;0.9983118480615533
0;0;0.2857142857142857;0;3.394326833988291e-20;0;0.48196612350888296
0;0;0.4;0;8.266187540774825e-18;1;0.5458008365746416
1;1;1.0;0;1.8281577547221472e-13;1;0.999952053490288
